gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392,SRR13308393,SRR13308394,SRR13308395
gene-pde6a|pde6a,22,8,10,24,30,48,18,0
gene-arsb|arsb,405,455,466,284,321,330,398,252
gene-dmgdh|dmgdh,8484,7647,6785,5197,3765,6896,10695,11493
gene-LOC109625962|LOC109625962,476,899,421,816,375,426,459,339
gene-LOC109625922|LOC109625922,134,91,86,85,81,82,108,103
gene-LOC109626043|LOC109626043,146,108,110,103,63,104,104,107
gene-LOC109625917|LOC109625917,633,583,794,582,826,642,763,1229
gene-nsa2|nsa2,21589,16231,15164,18327,18970,20816,20569,20881
gene-hexb|hexb,2479,2474,2527,1898,2189,1895,2106,2149
gene-LOC109626475|LOC109626475,318,505,246,297,317,303,322,176
gene-ankra2|ankra2,68,56,110,46,75,67,84,145
gene-btf3|btf3,13480,9873,9092,11008,11162,11643,11342,10464
gene-foxd1|foxd1,1,1,0,3,0,1,0,0
gene-LOC109626275|LOC109626275,227,148,236,70,227,173,198,217
gene-LOC109626048|LOC109626048,9,15,10,0,14,12,11,24
gene-LOC109626237|LOC109626237,12770,11052,6844,7477,8441,6878,7250,11048
gene-LOC109626238|LOC109626238,210,102,31,515,67,44,44,25
gene-c9|c9,57407,67074,165657,77039,201975,73246,78413,88658
gene-dab2|dab2,2020,1627,5145,1271,4801,1548,2094,1546
gene-LOC109626049|LOC109626049,10,13,0,16,10,11,3,9
gene-LOC109626051|LOC109626051,656,638,526,558,508,595,512,497
gene-trappc13|trappc13,141,184,229,149,167,139,169,225
gene-mapk10|mapk10,45,9,363,9,171,125,94,165
gene-arhgap24|arhgap24,25,38,22,9,26,13,29,10
gene-esm1|esm1,425,282,159,90,219,225,215,230
gene-LOC109626206|LOC109626206,2,0,0,0,0,0,0,0
gene-LOC109625960|LOC109625960,6,5,13,13,5,16,13,9
gene-LOC109626366|LOC109626366,299,332,339,248,298,253,278,319
gene-lman1|lman1,2931,2821,5894,3783,5335,5175,6748,14748
gene-grp|grp,0,0,0,6,0,0,0,0
gene-znf532|znf532,19,11,10,0,13,7,7,5
gene-alpk2|alpk2,72,138,135,94,28,57,87,88
gene-prlr|prlr,76,62,57,236,45,34,28,0
gene-nedd4l|nedd4l,665,617,837,457,523,657,729,682
gene-cunh18orf32|cunh18orf32,412,292,437,226,378,225,364,423
gene-brix1|brix1,218,169,285,298,347,108,132,274
gene-rad1|rad1,46,18,18,19,35,21,21,17
gene-dnajc21|dnajc21,119,102,256,127,149,75,115,262
gene-agxt2|agxt2,4764,4391,4235,3558,3253,4608,5194,3596
gene-dym|dym,248,221,441,297,293,207,291,613
gene-smad7|smad7,269,306,457,560,216,255,307,516
gene-ctif|ctif,365,247,602,338,314,283,318,618
gene-LOC109626192|LOC109626192,6,3,3,6,0,0,0,8
gene-nop14|nop14,208,197,462,145,252,172,224,499
gene-klf4|klf4,0,25,60,170,34,22,27,61
gene-add1|add1,1487,1312,1472,731,1130,1120,978,792
gene-LOC109626554|LOC109626554,283,218,453,184,352,219,324,448
gene-znf462|znf462,291,298,285,113,332,242,224,195
gene-LOC109626067|LOC109626067,0,0,0,0,0,0,0,0
gene-astn2|astn2,0,5,0,0,0,0,0,0
gene-trim32|trim32,268,203,302,151,221,200,255,253
gene-prrc2b|prrc2b,1566,1705,2057,1142,1928,1692,1971,1962
gene-nup214|nup214,335,352,371,175,369,280,278,410
gene-LOC109626450|LOC109626450,472,368,742,237,363,498,384,229
gene-gpsm1|gpsm1,364,367,441,288,338,325,379,632
gene-lhx3|lhx3,0,0,0,0,0,0,0,0
gene-brinp1|brinp1,0,0,0,0,3,7,3,0
gene-LOC109626066|LOC109626066,744,713,853,684,562,477,777,2102
gene-prag1|prag1,147,141,470,163,189,115,141,170
gene-edf1|edf1,3156,2380,2790,2011,2386,2141,2713,3580
gene-plpp7|plpp7,32,43,27,19,42,36,36,37
gene-fam78a|fam78a,50,35,57,28,54,51,29,60
gene-cunh9orf69|cunh9orf69,42,19,45,19,44,45,42,54
gene-ak1|ak1,66,68,65,71,56,49,40,61
gene-LOC109626453|LOC109626453,1782,2000,2043,851,2229,1923,1332,1960
gene-LOC109626415|LOC109626415,418,326,366,199,244,270,320,294
gene-usp20|usp20,181,193,211,150,179,209,257,304
gene-LOC109625944|LOC109625944,148,160,160,109,144,119,113,124
gene-ptbp1|ptbp1,396,373,485,280,418,411,400,457
gene-lrrc8a|lrrc8a,981,820,1105,517,1082,937,851,1321
gene-cdk5rap2|cdk5rap2,705,712,715,255,648,653,707,1002
gene-LOC109625987|LOC109625987,0,6,10,7,6,8,0,7
gene-LOC109626115|LOC109626115,0,0,0,0,0,0,0,0
gene-LOC109626561|LOC109626561,0,0,0,0,0,0,1,1
gene-sec16a|sec16a,853,807,1626,949,1388,1007,1188,2337
gene-LOC109626556|LOC109626556,54,72,127,49,76,51,112,126
gene-LOC109626319|LOC109626319,430,312,482,450,393,374,354,447
gene-st8sia5|st8sia5,0,0,0,0,0,2,0,0
gene-loxhd1|loxhd1,3,0,0,4,0,0,0,0
gene-LOC109626235|LOC109626235,23,44,58,52,14,33,64,147
gene-cunh18orf25|cunh18orf25,382,271,367,220,305,306,351,398
gene-LOC109625974|LOC109625974,0,0,0,0,0,0,0,0
gene-LOC109625972|LOC109625972,0,0,0,0,0,0,0,0
gene-LOC109626439|LOC109626439,0,0,0,0,0,0,0,0
gene-LOC109626059|LOC109626059,0,0,0,0,0,0,0,0
gene-LOC109626223|LOC109626223,0,0,0,0,0,0,0,0
gene-LOC109626060|LOC109626060,0,0,0,6,0,0,0,0
gene-LOC109626473|LOC109626473,233,257,375,199,255,345,381,321
gene-LOC109626472|LOC109626472,0,0,0,0,0,0,0,0
gene-kcmf1|kcmf1,299,234,387,225,285,196,269,385
gene-LOC109626572|LOC109626572,0,11,12,9,20,9,0,8
gene-LOC109626573|LOC109626573,0,0,0,0,0,0,0,0
gene-slc45a2|slc45a2,0,3,0,0,0,0,0,0
gene-ppef2|ppef2,0,0,0,0,0,0,0,0
gene-LOC109626481|LOC109626481,406,230,118,229,232,176,230,256
gene-klhl8|klhl8,159,181,114,41,181,120,153,139
gene-ptpn13|ptpn13,177,144,125,147,110,119,93,121
gene-map1b|map1b,140,110,108,31,159,139,94,22
gene-ptcd2|ptcd2,101,73,126,49,90,59,77,187
gene-cacfd1|cacfd1,226,174,215,75,178,141,234,258
gene-garnl3|garnl3,15,18,7,0,24,17,19,22
gene-ptges|ptges,5,11,19,26,15,10,9,14
gene-rpl7a|rpl7a,40400,30415,37386,42740,33293,30801,36230,42166
gene-LOC109626249|LOC109626249,70,68,113,65,88,70,83,102
gene-surf6|surf6,129,116,183,114,178,74,96,118
gene-kyat1|kyat1,110,118,288,101,144,154,172,264
gene-spout1|spout1,43,54,83,47,93,71,76,119
gene-st6galnac6|st6galnac6,26,26,24,30,21,25,23,39
gene-miga2|miga2,186,183,445,1048,244,217,220,417
gene-dolpp1|dolpp1,380,306,712,378,586,324,297,539
gene-ntng2|ntng2,8,0,17,0,0,0,5,0
gene-rapgef1|rapgef1,463,401,552,280,384,461,498,500
gene-uck1|uck1,282,252,267,184,229,193,229,266
gene-dnlz|dnlz,31,21,74,31,39,18,47,87
gene-phyhd1|phyhd1,2740,2395,1673,1411,1897,1889,1859,1234
gene-dolk|dolk,469,393,477,277,602,419,459,414
gene-nup188|nup188,254,196,228,68,304,222,182,261
gene-LOC109626199|LOC109626199,3,0,0,0,0,0,0,0
gene-psmd5|psmd5,244,185,319,94,266,171,220,312
gene-rpl28|rpl28,25494,21019,24280,24649,21680,20868,23595,24764
gene-rpl37|rpl37,16349,13231,15860,17900,13709,11791,14212,16649
gene-atp5a1|atp5a1,12829,9670,10260,10080,11180,10756,12425,10720
gene-LOC109626438|LOC109626438,5,25,13,25,0,0,0,0
gene-LOC109626224|LOC109626224,9,32,11,20,0,0,0,0
gene-LOC109626061|LOC109626061,717,608,336,266,222,370,560,180
gene-LOC109626222|LOC109626222,27,38,43,57,18,44,23,50
gene-LOC109626221|LOC109626221,843,762,945,605,721,597,1023,577
gene-itga1|itga1,97,152,257,129,199,89,108,56
gene-LOC109626232|LOC109626232,949,956,1309,1037,1123,847,1073,1492
gene-trnas-gcu|trnas-gcu,3,2,2,1,2,4,0,0
gene-trnas-gcu-2|trnas-gcu,3,2,2,1,2,4,0,0
gene-pstpip2|pstpip2,15,9,45,5,19,15,32,129
gene-dhx29|dhx29,168,139,313,98,249,136,177,343
gene-skiv2l2|skiv2l2,442,392,696,389,623,373,520,770
gene-plpp1|plpp1,337,343,575,296,456,365,491,697
gene-nxnl2|nxnl2,105,91,376,151,161,92,76,534
gene-LOC109626504|LOC109626504,37,20,61,16,43,17,50,50
gene-LOC109626502|LOC109626502,29,48,59,23,48,43,32,60
gene-rxfp3|rxfp3,3,3,5,5,3,0,0,6
gene-amacr|amacr,151,116,487,131,211,175,271,243
gene-LOC109626433|LOC109626433,12457,12820,9151,8231,10464,9024,5318,2627
gene-nup54|nup54,238,169,339,169,281,183,256,372
gene-LOC109626120|LOC109626120,3,0,0,0,0,0,0,0
gene-LOC109626001|LOC109626001,36,29,50,35,44,44,53,40
gene-sdad1|sdad1,379,324,344,179,406,262,248,403
gene-bspry|bspry,20,13,11,11,15,20,30,24
gene-LOC109626283|LOC109626283,190,181,301,252,216,203,293,556
gene-coq4|coq4,71,57,266,89,62,67,117,204
gene-mtfp1|mtfp1,117,119,358,150,294,122,154,182
gene-LOC109626370|LOC109626370,23,33,31,8,23,24,23,30
gene-LOC109626310|LOC109626310,12,5,3,0,0,6,0,0
gene-LOC109626309|LOC109626309,946,894,1106,383,949,934,1013,1207
gene-LOC109626332|LOC109626332,21,19,133,229,37,32,34,258
gene-LOC109626419|LOC109626419,0,0,0,0,0,0,0,0
gene-LOC109626418|LOC109626418,0,0,0,0,0,0,0,0
gene-tbx3|tbx3,14,17,39,22,54,21,42,27
gene-LOC109626369|LOC109626369,174,187,195,143,197,161,232,173
gene-ermp1|ermp1,122,141,238,115,157,100,114,137
gene-pappa|pappa,0,0,6,5,0,0,6,51
gene-znf618|znf618,590,658,604,263,519,877,958,500
gene-rgs3|rgs3,726,1365,834,1243,520,641,864,3202
gene-rabepk|rabepk,39,37,64,12,43,29,46,33
gene-dnm1|dnm1,0,0,0,0,0,0,0,0
gene-prdm12|prdm12,0,0,0,0,0,0,0,0
gene-LOC109626113|LOC109626113,0,0,0,0,0,0,0,0
gene-hspa5|hspa5,1382,2227,47139,29497,9265,7300,14289,83037
gene-golga2|golga2,1283,1166,2558,988,1418,1326,1478,2949
gene-ciz1|ciz1,473,413,422,220,354,389,402,443
gene-cunh9orf16|cunh9orf16,486,299,579,245,488,418,509,732
gene-surf2|surf2,115,133,109,92,124,142,116,96
gene-surf4|surf4,1498,1376,3896,1323,2678,2787,3828,6416
gene-ass1|ass1,130,46,239,170,216,280,501,531
gene-fubp3|fubp3,2185,1983,2346,1572,2332,1715,1664,1514
gene-LOC109626285|LOC109626285,3,0,0,0,0,2,0,0
gene-fbxw5|fbxw5,203,151,163,68,182,156,152,234
gene-trnac-gca|trnac-gca,0,0,0,0,0,0,0,0
gene-LOC109626307|LOC109626307,233,188,279,166,332,233,412,378
gene-ddx54|ddx54,413,385,630,345,668,332,339,557
gene-LOC109626265|LOC109626265,353,330,760,262,385,381,609,838
gene-exosc2|exosc2,113,76,80,67,143,58,110,129
gene-ric1|ric1,374,279,314,284,288,356,343,304
gene-LOC109626071|LOC109626071,7,0,0,0,13,7,12,14
gene-LOC109626329|LOC109626329,431,467,465,247,326,450,463,472
gene-nup155|nup155,150,144,184,79,249,126,156,236
gene-kiaa2026|kiaa2026,237,184,295,97,226,242,360,342
gene-mlana|mlana,0,0,0,0,0,0,0,0
gene-LOC109626484|LOC109626484,3499,2830,4823,1525,4070,2433,2356,1755
gene-uhrf2|uhrf2,265,222,360,121,271,221,362,344
gene-LOC109626289|LOC109626289,243,266,265,98,275,281,389,491
gene-rfx3|rfx3,61,61,83,49,57,57,70,89
gene-LOC109626138|LOC109626138,0,6,0,0,0,0,0,5
gene-LOC109626075|LOC109626075,19,22,10,30,20,21,18,26
gene-cunh5orf42|cunh5orf42,37,73,58,50,29,24,30,67
gene-wdr70|wdr70,230,232,248,134,208,126,127,106
gene-LOC109626155|LOC109626155,0,0,9,0,14,0,6,12
gene-LOC109626072|LOC109626072,0,0,0,7,0,3,0,0
gene-LOC109626287|LOC109626287,0,0,0,0,0,0,0,0
gene-LOC109626073|LOC109626073,269,281,290,246,211,230,231,110
gene-LOC109625982|LOC109625982,0,3,0,0,0,7,0,0
gene-LOC109625930|LOC109625930,437,537,551,350,359,316,291,412
gene-LOC109626392|LOC109626392,331,324,292,162,300,271,289,294
gene-LOC109626103|LOC109626103,205,232,300,182,171,76,65,171
gene-LOC109626535|LOC109626535,0,0,6,0,6,0,0,0
gene-slc35e4|slc35e4,208,114,177,176,168,140,135,235
gene-LOC109626388|LOC109626388,116,97,152,40,161,76,104,172
gene-LOC109626529|LOC109626529,27,22,73,40,97,39,77,120
gene-LOC109626121|LOC109626121,11,16,37,16,15,20,25,27
gene-LOC109626331|LOC109626331,204,163,247,196,274,266,446,672
gene-zmat5|zmat5,88,78,158,57,121,83,104,174
gene-cabp7|cabp7,0,0,0,0,0,0,0,0
gene-LOC109626021|LOC109626021,0,0,0,0,0,0,0,0
gene-LOC109626105|LOC109626105,0,3,61,11,8,0,21,0
gene-LOC109626106|LOC109626106,0,0,8,8,0,0,0,4
gene-LOC109626344|LOC109626344,16,0,10,15,8,12,0,23
gene-LOC109626345|LOC109626345,0,0,3,0,4,0,0,3
gene-LOC109626093|LOC109626093,0,0,0,0,0,3,0,0
gene-LOC109626256|LOC109626256,0,0,0,0,0,0,6,0
gene-LOC109626252|LOC109626252,122,78,74,53,97,113,107,61
gene-LOC109626132|LOC109626132,26,46,46,19,30,29,40,52
gene-gsc2|gsc2,0,5,7,0,0,0,0,4
gene-rhof|rhof,314,136,145,66,222,306,339,69
gene-LOC109626186|LOC109626186,164,174,112,72,126,173,155,146
gene-LOC109626014|LOC109626014,0,0,0,0,0,0,0,0
gene-LOC109626524|LOC109626524,0,0,0,0,0,0,0,0
gene-LOC109626523|LOC109626523,11,0,0,11,0,9,11,10
gene-LOC109626018|LOC109626018,8,0,3,9,13,9,5,0
gene-LOC109626160|LOC109626160,0,0,0,0,0,0,0,0
gene-LOC109626301|LOC109626301,6,3,8,5,8,5,5,0
gene-LOC109626110|LOC109626110,0,20,9,16,10,15,14,0
gene-LOC109625957|LOC109625957,67,31,29,39,24,22,16,0
gene-LOC109625910|LOC109625910,0,0,0,0,0,0,0,0
gene-LOC109626297|LOC109626297,270,206,276,350,320,253,224,286
gene-LOC109625949|LOC109625949,0,5,0,0,0,0,0,0
gene-LOC109626330|LOC109626330,89,79,46,325,107,27,36,379
gene-LOC109626514|LOC109626514,14,22,13,8,23,10,9,112
gene-LOC109626516|LOC109626516,813,672,1085,770,731,603,697,1066
gene-susd2|susd2,1418,2744,1604,1895,2922,2704,2578,2061
gene-LOC109626254|LOC109626254,27,14,8,10,13,16,35,13
gene-LOC109626253|LOC109626253,7,13,19,4,0,5,9,10
gene-selplg|selplg,21,10,56,25,47,16,34,30
gene-LOC109626291|LOC109626291,17,23,36,26,54,18,23,53
gene-rnf185|rnf185,862,778,1615,559,944,654,1148,1617
gene-LOC109626292|LOC109626292,76,67,54,13,74,84,57,52
gene-dgcr14|dgcr14,301,245,332,171,280,251,296,318
gene-dgcr2|dgcr2,3677,3525,2243,1392,2569,2583,2489,2133
gene-LOC109626176|LOC109626176,53,48,68,61,34,64,90,61
gene-LOC109626185|LOC109626185,336,367,387,253,317,544,691,346
gene-LOC109626187|LOC109626187,88,89,107,67,106,82,77,51
gene-morn3|morn3,8,0,6,0,0,0,0,0
gene-orai1|orai1,41,49,73,42,50,46,60,102
gene-LOC109626208|LOC109626208,22,16,0,11,8,8,11,3
gene-LOC109626108|LOC109626108,115,108,65,20,114,88,61,61
gene-LOC109626303|LOC109626303,560,350,275,359,338,443,379,233
gene-brf2|brf2,134,81,111,50,93,65,93,92
gene-LOC109626076|LOC109626076,1574,1445,2181,1394,1653,1439,1651,1622
gene-aak1|aak1,40,57,59,35,63,61,35,36
gene-LOC109625978|LOC109625978,79,65,73,34,54,64,57,33
gene-LOC109625977|LOC109625977,110,92,84,48,74,70,81,59
gene-LOC109626480|LOC109626480,444,438,647,374,702,303,262,189
gene-LOC109626077|LOC109626077,327,257,424,120,313,342,388,453
gene-LOC109626296|LOC109626296,133,61,104,21,66,130,119,115
gene-nfkbil1|nfkbil1,95,102,68,38,114,74,113,73
gene-LOC109626016|LOC109626016,7,6,0,3,3,0,0,7
gene-LOC109626172|LOC109626172,9,9,9,12,0,8,13,51
gene-pde6b|pde6b,39,44,45,37,40,49,42,65
gene-LOC109626098|LOC109626098,14,11,9,27,22,12,9,25
gene-lhx6|lhx6,0,6,0,0,14,5,14,18
gene-morn5|morn5,9,0,0,0,0,0,5,0
gene-ndufa8|ndufa8,1155,929,967,838,996,746,695,747
gene-gmcl1|gmcl1,95,109,170,292,92,89,154,176
gene-LOC109625918|LOC109625918,0,0,0,0,0,0,0,0
gene-LOC109626184|LOC109626184,0,0,0,0,0,0,3,0
gene-LOC109626152|LOC109626152,50,54,67,125,20,79,52,41
gene-LOC109626150|LOC109626150,0,0,0,0,0,0,4,0
gene-LOC109626080|LOC109626080,0,0,0,0,0,0,0,0
gene-LOC109625938|LOC109625938,0,3,0,0,1,0,0,0
gene-LOC109626205|LOC109626205,0,0,0,0,0,0,0,0
gene-rai14|rai14,137,171,238,419,150,128,128,189
gene-LOC109626124|LOC109626124,0,0,0,0,0,0,0,0
gene-LOC109625984|LOC109625984,7,7,3,31,0,10,0,3
gene-fyb|fyb,167,192,212,46,216,146,137,101
gene-snx24|snx24,741,1098,2790,3418,650,773,1509,3120
gene-ggcx|ggcx,4802,5497,6885,5579,4776,7159,8671,12979
gene-fam136a|fam136a,697,494,598,561,430,470,496,520
gene-pcyox1|pcyox1,360,361,495,347,456,317,195,287
gene-LOC109626312|LOC109626312,587,630,1001,2009,1051,447,499,919
gene-stard7|stard7,372,466,622,772,305,341,460,533
gene-drg1|drg1,547,412,815,623,797,674,694,1115
gene-sppl3|sppl3,213,181,170,72,228,205,186,194
gene-gnaz|gnaz,3,12,8,9,10,11,5,14
gene-slc5a1|slc5a1,46,40,52,74,28,31,25,12
gene-rnf208|rnf208,4,3,26,98,2,13,11,39
gene-LOC109626081|LOC109626081,592,831,923,717,609,641,864,906
gene-LOC109626123|LOC109626123,9,0,0,6,0,10,6,0
gene-LOC109626290|LOC109626290,1553,1369,1155,512,1444,1043,978,636
gene-atp5i|atp5i,1599,1239,1603,1711,1375,1143,1388,1389
gene-snrpd3|snrpd3,148,135,264,69,259,121,179,219
gene-LOC109625953|LOC109625953,11,24,19,15,8,26,29,18
gene-LOC109626401|LOC109626401,166,154,125,188,108,140,166,80
gene-LOC109626402|LOC109626402,70,63,55,73,55,33,36,43
gene-pus1|pus1,90,86,124,60,135,68,62,198
gene-LOC109626276|LOC109626276,541,561,1513,904,1447,1032,988,1753
gene-noc4l|noc4l,238,209,165,117,246,178,154,190
gene-LOC109626116|LOC109626116,0,0,3,2,0,0,0,11
gene-gpn3|gpn3,89,84,223,109,129,91,164,571
gene-trabd2a|trabd2a,3,5,0,0,7,0,0,3
gene-LOC109626173|LOC109626173,0,0,0,0,0,0,0,0
gene-LOC109626209|LOC109626209,0,0,0,0,0,0,0,0
gene-ulk1|ulk1,1073,836,510,489,543,819,1099,820
gene-LOC109626341|LOC109626341,461,364,726,485,511,304,352,619
gene-arpc3|arpc3,1172,1056,1308,982,1263,1140,1341,1296
gene-LOC109625947|LOC109625947,395,368,579,261,414,406,479,723
gene-hook3|hook3,146,193,352,259,128,102,140,384
gene-sfswap|sfswap,992,703,723,378,809,851,843,738
gene-mmp17|mmp17,18,14,17,17,34,30,37,42
gene-LOC109626089|LOC109626089,11,6,0,8,0,0,27,0
gene-LOC109626009|LOC109626009,73,81,94,272,54,54,100,156
gene-LOC109625919|LOC109625919,7,3,2,22,3,0,6,4
gene-LOC109626342|LOC109626342,116,140,133,115,87,98,114,134
gene-LOC109626175|LOC109626175,0,0,0,0,0,0,0,0
gene-LOC109626003|LOC109626003,0,3,5,6,0,2,0,4
gene-LOC109626096|LOC109626096,0,2,0,0,0,0,0,0
gene-LOC109626528|LOC109626528,0,0,0,0,0,0,0,0
gene-LOC109626087|LOC109626087,0,0,0,5,0,0,3,6
gene-crkl|crkl,477,392,718,869,535,348,506,812
gene-LOC109625955|LOC109625955,5,22,10,43,17,12,15,9
gene-lacc1|lacc1,56,61,69,39,61,85,89,158
gene-LOC109625956|LOC109625956,4279,3528,3164,3157,3929,3581,2481,2606
gene-LOC109625993|LOC109625993,134,105,248,60,242,169,340,542
gene-dusp4|dusp4,1569,928,534,1014,947,384,796,1798
gene-LOC109626130|LOC109626130,8,13,14,12,9,12,8,17
gene-LOC109626578|LOC109626578,342,314,238,162,287,305,334,209
gene-LOC109625937|LOC109625937,14,26,0,15,13,0,7,5
gene-LOC109626510|LOC109626510,241,191,173,201,195,218,110,130
gene-LOC109626509|LOC109626509,161,219,162,109,124,165,239,318
gene-LOC109626558|LOC109626558,268,209,160,258,234,177,181,128
gene-LOC109626126|LOC109626126,33,40,231,51,91,78,97,189
gene-sigmar1|sigmar1,741,737,723,513,630,585,711,877
gene-plppr1|plppr1,120,112,138,100,104,141,110,97
gene-epha5|epha5,0,0,0,0,0,0,0,0
gene-LOC109626316|LOC109626316,0,0,0,0,0,0,0,0
gene-skor2|skor2,0,0,0,0,0,0,0,0
gene-katnal2|katnal2,34,26,42,27,45,43,38,72
gene-snx30|snx30,752,863,953,473,760,763,814,743
gene-slc46a2|slc46a2,26,25,78,29,44,34,24,35
gene-LOC109626279|LOC109626279,1090,1141,1487,756,1055,1070,1340,2313
gene-LOC109626091|LOC109626091,12,27,13,15,19,19,17,13
gene-LOC109626022|LOC109626022,30,26,21,7,39,21,14,32
gene-LOC109626154|LOC109626154,7,4,352,18680,20,6,13,176
gene-LOC109626317|LOC109626317,4,4,308,16461,21,6,7,167
gene-smad2|smad2,98,64,158,304,123,102,162,263
gene-LOC109625940|LOC109625940,91,78,222,102,113,87,161,228
gene-hdhd2|hdhd2,59,49,55,23,44,63,45,54
gene-galt|galt,375,241,452,167,390,218,304,199
gene-lrrc45|lrrc45,352,241,352,118,438,346,406,361
gene-LOC109626986|LOC109626986,86,82,95,31,105,112,135,115
gene-trub1|trub1,82,53,73,41,70,76,124,144
gene-LOC109626804|LOC109626804,257,229,440,121,220,222,412,406
gene-ccdc57|ccdc57,0,8,12,0,0,9,7,0
gene-LOC109626673|LOC109626673,1095,889,1005,580,1239,1261,1013,667
gene-rab3gap1|rab3gap1,451,409,450,325,281,365,372,380
gene-llgl2|llgl2,495,450,400,383,432,372,453,415
gene-myo15b|myo15b,9,0,13,0,0,0,5,0
gene-LOC109626163|LOC109626163,0,0,42,8,5,6,10,3
gene-LOC109626181|LOC109626181,0,4,11,9,9,0,0,0
gene-LOC109626082|LOC109626082,0,0,0,0,0,0,0,5
gene-rc3h2|rc3h2,61,18,55,5,53,85,25,50
gene-LOC109626218|LOC109626218,0,0,0,0,0,0,0,0
gene-strbp|strbp,9,18,27,5,66,17,26,19
gene-LOC109626220|LOC109626220,0,0,0,0,0,0,0,0
gene-LOC109626546|LOC109626546,81,88,69,34,58,91,145,61
gene-urm1|urm1,23,11,41,15,38,8,19,43
gene-dbh|dbh,0,0,0,0,0,0,3,0
gene-fam163b|fam163b,0,0,3,4,3,0,8,9
gene-LOC109626468|LOC109626468,368,400,518,197,537,258,280,542
gene-nsmf|nsmf,0,0,0,0,0,0,0,0
gene-LOC109626357|LOC109626357,0,0,0,0,0,0,0,0
gene-rbm18|rbm18,260,174,270,190,211,248,259,337
gene-mrrf|mrrf,119,52,176,101,101,50,57,150
gene-plgrkt|plgrkt,357,293,575,343,358,236,318,429
gene-LOC109626499|LOC109626499,612,432,530,220,543,634,427,312
gene-rabgap1|rabgap1,302,350,258,188,325,304,327,257
gene-gpr21|gpr21,8,7,2,5,6,10,4,5
gene-cercam|cercam,29,20,70,17,31,26,28,27
gene-sardh|sardh,3825,4104,3366,2612,2958,4069,4226,4204
gene-swi5|swi5,27,24,23,29,29,20,27,9
gene-slc27a4|slc27a4,12,9,32,0,35,6,17,24
gene-lcn2|lcn2,28660,26748,31749,25533,29249,28060,31853,41250
gene-LOC109625985|LOC109625985,164743,179464,139281,159700,149850,170172,166860,141685
gene-nrarp|nrarp,340,347,593,417,275,377,502,503
gene-exd3|exd3,63,67,107,48,74,79,100,90
gene-cdc37l1|cdc37l1,390,341,433,290,352,414,443,557
gene-ak3|ak3,81,74,64,25,85,49,76,60
gene-rcl1|rcl1,2628,2152,1812,1508,2145,937,866,1109
gene-anxa3|anxa3,240,194,966,234,520,200,577,1049
gene-LOC109626178|LOC109626178,904,887,623,776,787,849,632,417
gene-pnpla7|pnpla7,284,427,337,219,324,286,330,470
gene-LOC109626564|LOC109626564,555,1061,750,569,519,590,564,332
gene-egr2|egr2,0,0,11,120,5,0,9,6
gene-ado|ado,384,306,316,165,428,356,428,466
gene-bms1|bms1,288,245,525,206,446,236,263,531
gene-mtr|mtr,794,911,1286,848,709,924,971,973
gene-ryr2|ryr2,0,17,7,0,0,0,0,0
gene-LOC109627167|LOC109627167,0,0,0,0,0,0,0,0
gene-trnak-cuu-2|trnak-cuu,0,0,0,0,0,0,0,0
gene-LOC109626677|LOC109626677,0,0,0,0,0,0,0,0
gene-LOC109627022|LOC109627022,575,536,597,318,625,600,841,915
gene-LOC109626598|LOC109626598,5,12,0,7,0,0,0,0
gene-exoc6|exoc6,160,158,129,24,185,150,123,154
gene-jmjd1c|jmjd1c,515,538,418,444,498,475,504,594
gene-LOC109626794|LOC109626794,0,0,0,0,0,0,0,0
gene-LOC109627168|LOC109627168,34,50,49,36,36,48,30,47
gene-LOC109626983|LOC109626983,227,127,51,28,205,134,94,80
gene-tfam|tfam,209,133,150,67,192,118,171,295
gene-LOC109626678|LOC109626678,60,43,217,39,73,63,102,191
gene-ipmk|ipmk,438,390,503,310,583,501,882,1517
gene-naglu|naglu,88,116,82,68,76,38,33,17
gene-LOC109627134|LOC109627134,251,552,289,312,497,459,362,348
gene-LOC109627033|LOC109627033,722,617,621,317,775,589,597,502
gene-dcxr|dcxr,651,581,589,621,573,533,469,308
gene-LOC109626679|LOC109626679,24,55,12,6,41,45,40,20
gene-LOC109626586|LOC109626586,312,173,121,144,171,94,255,101
gene-nrbf2|nrbf2,251,125,297,169,275,204,273,238
gene-nhlrc3|nhlrc3,236,269,632,359,408,224,286,381
gene-LOC109626680|LOC109626680,7,0,0,0,0,0,7,0
gene-eme1|eme1,2,3,0,0,0,0,4,0
gene-mrpl27|mrpl27,144,102,163,131,145,24,94,215
gene-LOC109626745|LOC109626745,244,188,116,60,166,202,318,229
gene-LOC109626685|LOC109626685,66,86,84,76,59,61,88,118
gene-LOC109626744|LOC109626744,0,3,6,0,4,0,0,0
gene-slc9a3r1|slc9a3r1,804,780,1359,704,793,734,954,1522
gene-LOC109626735|LOC109626735,8,9,3,3,11,3,6,0
gene-mettl9|mettl9,265,263,757,296,435,280,352,588
gene-LOC109626902|LOC109626902,2118,1899,4036,2375,2666,2641,2552,6898
gene-snf8|snf8,152,155,102,93,127,108,89,115
gene-LOC109627027|LOC109627027,276,225,331,391,276,215,284,343
gene-fmn2|fmn2,0,0,0,0,0,0,3,0
gene-LOC109626869|LOC109626869,0,0,0,0,0,0,0,0
gene-LOC109627026|LOC109627026,98,125,136,52,138,147,207,170
