gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-LOC109633196|LOC109633196,15,21,24,14,19
gene-trnag-ccc|trnag-ccc,0,0,0,0,0
gene-thumpd3|thumpd3,169,141,305,174,269
gene-ptgis|ptgis,0,0,8,22,0
gene-cse1l|cse1l,498,318,608,310,550
gene-LOC109629187|LOC109629187,119,115,88,55,107
gene-wdr77|wdr77,106,67,115,52,207
gene-LOC109628970|LOC109628970,414,389,331,271,382
gene-LOC109629090|LOC109629090,231,214,210,174,190
gene-irf6|irf6,1794,1442,1320,853,1131
gene-LOC109629217|LOC109629217,21,34,12,11,28
gene-LOC109629216|LOC109629216,576,779,1301,1212,490
gene-LOC109629271|LOC109629271,113,184,494,404,148
gene-LOC109628925|LOC109628925,0,0,0,0,0
gene-LOC109629086|LOC109629086,15,8,18,5,16
gene-LOC109629284|LOC109629284,555,463,636,344,574
gene-LOC109629339|LOC109629339,707,641,876,558,681
gene-srsf3|srsf3,599,412,373,294,548
gene-LOC109629024|LOC109629024,85,288,427,482,43
gene-tmcc2|tmcc2,16,26,1624,134,181
gene-usp49|usp49,310,225,325,102,328
gene-med20|med20,54,64,110,49,108
gene-bysl|bysl,802,795,946,713,955
gene-ccnd3|ccnd3,22,31,24,20,17
gene-LOC109629230|LOC109629230,3479,2233,3599,1332,3698
gene-LOC109629065|LOC109629065,0,0,0,0,0
gene-b3galt6|b3galt6,66,91,160,72,124
gene-LOC109629159|LOC109629159,427,605,1406,635,682
gene-cda|cda,2578,2239,7332,2695,4551
gene-pusl1|pusl1,19,9,34,20,31
gene-acap3|acap3,0,0,46,0,24
gene-LOC109629153|LOC109629153,500,386,612,312,802
gene-ube2j2|ube2j2,606,514,813,485,806
gene-LOC109629286|LOC109629286,8,3,17,56,9
gene-LOC109629201|LOC109629201,439,418,742,584,468
gene-LOC109629403|LOC109629403,7,9,5,13,0
gene-LOC109628874|LOC109628874,21,10,11,10,10
gene-phf13|phf13,253,300,410,671,244
gene-LOC109628904|LOC109628904,0,0,6,0,0
gene-LOC109628903|LOC109628903,83,72,105,65,79
gene-LOC109628906|LOC109628906,1115,947,899,561,747
gene-LOC109629382|LOC109629382,58,91,79,18,59
gene-LOC109629378|LOC109629378,211,120,101,130,129
gene-LOC109629402|LOC109629402,56,34,23,37,19
gene-eif4b|eif4b,6899,5213,5849,5085,6572
gene-LOC109629152|LOC109629152,510,501,1321,430,1072
gene-LOC109629392|LOC109629392,99,192,132,141,200
gene-LOC109629266|LOC109629266,298,372,295,212,177
gene-LOC109628876|LOC109628876,61,62,66,74,79
gene-LOC109629334|LOC109629334,45,71,58,32,70
gene-LOC109629319|LOC109629319,26,23,11,34,23
gene-LOC109629330|LOC109629330,12,24,12,8,16
gene-LOC109629318|LOC109629318,536,645,897,932,715
gene-LOC109629314|LOC109629314,407,367,512,232,458
gene-LOC109628926|LOC109628926,485,203,283,86,380
gene-tpra1|tpra1,723,684,753,524,829
gene-chchd6|chchd6,3303,2514,2330,2595,1875
gene-plxna1|plxna1,141,181,179,178,155
gene-LOC109629293|LOC109629293,0,0,20,8,22
gene-evc|evc,248,238,262,128,235
gene-evc2|evc2,162,133,137,84,141
gene-cytl1|cytl1,1066,1120,966,800,988
gene-LOC109629309|LOC109629309,29,37,59,14,26
gene-stx18|stx18,317,257,649,335,404
gene-LOC109629310|LOC109629310,21,9,17,3,14
gene-aggf1|aggf1,107,91,163,125,170
gene-LOC109628973|LOC109628973,819,750,1232,1049,832
gene-LOC109629178|LOC109629178,52,61,66,43,42
gene-r3hcc1|r3hcc1,208,177,201,77,205
gene-LOC109629180|LOC109629180,241,275,476,132,311
gene-rplp0|rplp0,71716,57249,69507,77671,65727
gene-pxn|pxn,409,265,369,239,490
gene-LOC109629236|LOC109629236,8,0,44,0,36
gene-LOC109629082|LOC109629082,2,0,0,0,0
gene-LOC109628974|LOC109628974,2287,1901,2079,1398,1859
gene-LOC109629052|LOC109629052,2,10,4,0,0
gene-LOC109629300|LOC109629300,113,97,113,53,136
gene-dnai1|dnai1,10,9,0,0,0
gene-LOC109629370|LOC109629370,381,249,394,153,375
gene-kiaa1161|kiaa1161,1161,1178,897,590,931
gene-kiaa1328|kiaa1328,20,12,14,0,21
gene-tpgs2|tpgs2,864,1136,1155,776,782
gene-LOC109629326|LOC109629326,505,618,664,439,424
gene-LOC109629195|LOC109629195,1480,1557,1437,1627,1150
gene-nop56|nop56,4175,3329,2826,3192,3933
gene-ubap2|ubap2,340,355,407,254,391
gene-ubap1|ubap1,697,669,1001,1436,731
gene-dcaf12|dcaf12,709,586,765,563,745
gene-rfesd|rfesd,21,17,7,15,0
gene-ube2r2|ube2r2,1762,1613,2148,637,1467
gene-nudt2|nudt2,782,439,674,304,617
gene-rhobtb3|rhobtb3,0,12,10,0,9
gene-glrx|glrx,17553,15768,15986,16443,13331
gene-ell2|ell2,4704,3802,3114,1138,4983
gene-LOC109629071|LOC109629071,167,209,132,107,134
gene-cast|cast,1103,1117,978,1028,920
gene-cd8a|cd8a,51,52,250,14,119
gene-LOC109629104|LOC109629104,0,0,10,0,0
gene-LOC109628908|LOC109628908,82,189,321,128,82
gene-idh3b|idh3b,256,206,273,176,294
gene-ptpra|ptpra,279,263,348,204,292
gene-wdr1|wdr1,608,558,996,525,1089
gene-slc2a9|slc2a9,205,314,219,229,139
gene-otop1|otop1,0,0,0,0,0
gene-tmem128|tmem128,82,50,43,14,77
gene-lyar|lyar,159,56,142,64,120
gene-zbtb49|zbtb49,43,20,80,21,48
gene-mx1|mx1,30,23,73,24,85
gene-thoc7|thoc7,151,123,261,110,195
gene-atxn7|atxn7,107,95,129,240,111
gene-psmd6|psmd6,550,384,825,428,736
gene-prickle2|prickle2,83,81,86,50,79
gene-adamts9|adamts9,14,27,31,58,36
gene-LOC109628979|LOC109628979,211,202,156,259,129
gene-LOC109629169|LOC109629169,145,106,138,185,109
gene-slc25a26|slc25a26,36,21,52,19,62
gene-lrig1|lrig1,859,951,819,311,854
gene-kbtbd8|kbtbd8,88,119,141,173,62
gene-LOC109629297|LOC109629297,74,45,239,42,140
gene-suclg2|suclg2,2486,2434,2712,1869,1965
gene-LOC109629414|LOC109629414,1,0,0,0,0
gene-trnae-cuc-3|trnae-cuc,0,0,1,0,0
gene-trnar-acg-2|trnar-acg,0,0,0,0,0
gene-trnae-cuc-4|trnae-cuc,0,0,0,0,0
gene-eogt|eogt,37,32,51,24,47
gene-trnae-cuc-2|trnae-cuc,1,1,1,0,0
gene-tmf1|tmf1,702,649,1126,762,809
gene-LOC109628897|LOC109628897,142,123,237,393,133
gene-LOC109629410|LOC109629410,653,570,556,130,614
gene-trnae-cuc-5|trnae-cuc,1,0,0,0,0
gene-trnae-cuc-6|trnae-cuc,1,0,0,0,0
gene-LOC109629299|LOC109629299,204,162,167,101,237
gene-trnae-cuc-7|trnae-cuc,1,0,0,0,0
gene-sfmbt1|sfmbt1,371,250,376,210,307
gene-trnar-acg-3|trnar-acg,0,0,0,0,2
gene-trnar-acg-4|trnar-acg,0,1,0,0,0
gene-LOC109629138|LOC109629138,90,84,122,45,79
gene-trnae-cuc-8|trnae-cuc,1,0,0,0,0
gene-itih3|itih3,173454,284078,191563,202617,238849
gene-LOC109629134|LOC109629134,1633,2887,2283,2070,2713
gene-rpn1|rpn1,4192,3689,8481,4775,6673
gene-hmces|hmces,51,30,160,121,36
gene-LOC109629191|LOC109629191,3067,2604,4196,2316,2788
gene-LOC109629394|LOC109629394,1584,1421,2043,1727,1655
gene-cidec|cidec,437,185,206,73,461
gene-LOC109628946|LOC109628946,145,29,15,17,76
gene-LOC109628907|LOC109628907,216,176,80,54,148
gene-chchd4|chchd4,37,46,107,91,62
gene-LOC109629235|LOC109629235,23793,19437,20999,19235,24006
gene-dnah1|dnah1,160,142,148,42,185
gene-LOC109628905|LOC109628905,19,31,106,19,53
gene-LOC109629276|LOC109629276,240,142,278,184,208
gene-LOC109629257|LOC109629257,633,435,930,381,804
gene-tada3|tada3,260,222,232,66,289
gene-LOC109628981|LOC109628981,819,648,831,973,534
gene-LOC109629070|LOC109629070,9,4,12,20,10
gene-LOC109628983|LOC109628983,0,0,0,0,0
gene-LOC109629262|LOC109629262,2,0,30,0,0
gene-LOC109629261|LOC109629261,326,320,457,328,287
gene-LOC109628928|LOC109628928,12,3,14,0,0
gene-LOC109628927|LOC109628927,160,118,199,70,156
gene-LOC109628984|LOC109628984,451,505,963,560,588
gene-LOC109628985|LOC109628985,411,498,701,144,464
gene-ncoa3|ncoa3,438,373,440,203,411
gene-sulf2|sulf2,31,23,23,13,20
gene-LOC109629184|LOC109629184,1281,1691,1754,1256,1193
gene-LOC109629237|LOC109629237,451,313,403,897,444
gene-ndrg3|ndrg3,295,177,390,384,219
gene-LOC109629113|LOC109629113,114,81,50,40,114
gene-trpc4ap|trpc4ap,383,350,521,290,367
gene-LOC109628854|LOC109628854,102,128,150,81,179
gene-top1|top1,935,797,1433,1025,1244
gene-LOC109629371|LOC109629371,860,688,521,356,741
gene-fam83d|fam83d,42,29,39,24,30
gene-LOC109629398|LOC109629398,114,68,280,286,133
gene-LOC109629068|LOC109629068,201,138,124,46,67
gene-hcfc1|hcfc1,671,609,942,480,854
gene-LOC109629150|LOC109629150,128,237,255,133,151
gene-gnl3l|gnl3l,1054,873,913,813,944
gene-LOC109629212|LOC109629212,484,448,540,343,518
gene-cxxc1|cxxc1,441,434,444,345,405
gene-LOC109628990|LOC109628990,146,121,164,75,136
gene-LOC109629049|LOC109629049,15,0,0,16,3
gene-LOC109628991|LOC109628991,78,92,109,55,93
gene-comt|comt,739,861,584,819,650
gene-traip|traip,0,8,22,0,10
gene-mon1a|mon1a,158,175,222,75,217
gene-mst1r|mst1r,0,0,3,0,0
gene-LOC109629407|LOC109629407,0,0,0,0,0
gene-LOC109629270|LOC109629270,309,406,358,1183,232
gene-arl8b|arl8b,3006,2993,6718,2484,4509
gene-naaa|naaa,1996,1671,2288,2082,1590
gene-LOC109629357|LOC109629357,902,1113,1643,2501,418
gene-LOC109628992|LOC109628992,97,114,97,148,56
gene-LOC109629044|LOC109629044,57,91,191,48,46
gene-lrrn1|lrrn1,5,2,5,0,3
gene-LOC109629056|LOC109629056,3,0,0,0,0
gene-trnt1|trnt1,77,74,144,52,144
gene-LOC109629200|LOC109629200,144,100,466,132,155
gene-LOC109629336|LOC109629336,1041,929,699,358,849
gene-LOC109629028|LOC109629028,54,32,35,27,17
gene-LOC109629225|LOC109629225,505,484,385,359,346
gene-LOC109629399|LOC109629399,380,241,352,153,305
gene-rybp|rybp,469,345,366,211,378
gene-LOC109628993|LOC109628993,83,55,82,27,81
gene-LOC109629034|LOC109629034,7,8,0,0,5
gene-chl1|chl1,93,201,196,185,178
gene-LOC109628922|LOC109628922,0,0,0,7,0
gene-epb41l1|epb41l1,54,62,76,78,53
gene-LOC109629359|LOC109629359,49,118,1560,67,171
gene-cdk5rap1|cdk5rap1,162,204,282,97,164
gene-rpn2|rpn2,1759,1468,4805,2097,3861
gene-mybl2|mybl2,5,9,33,6,27
gene-LOC109629110|LOC109629110,0,0,0,5,2
gene-LOC109628994|LOC109628994,90,68,71,48,72
gene-LOC109629373|LOC109629373,507,434,528,439,561
gene-acot8|acot8,127,150,137,80,98
gene-LOC109628867|LOC109628867,12,22,96,11,0
gene-LOC109629240|LOC109629240,19,13,15,12,13
gene-LOC109629239|LOC109629239,308,226,277,162,380
gene-LOC109629248|LOC109629248,1340,1134,2879,1430,2888
gene-LOC109629393|LOC109629393,281,179,218,250,208
gene-LOC109628853|LOC109628853,14,32,335,17,111
gene-fbxo2|fbxo2,50,48,40,101,22
gene-svbp|svbp,87,53,157,38,80
gene-trnae-cuc-10|trnae-cuc,1,0,0,0,0
gene-wnt4|wnt4,5,7,0,0,3
gene-LOC109629172|LOC109629172,584,470,1148,531,717
gene-snrpe|snrpe,341,177,526,156,408
gene-sox13|sox13,44,93,36,13,64
gene-etnk2|etnk2,59,45,47,34,45
gene-LOC109628883|LOC109628883,28,35,22,18,22
gene-LOC109629368|LOC109629368,204,117,136,178,71
gene-trnaf-gaa-7|trnaf-gaa,1,0,0,2,0
gene-trnaw-cca-7|trnaw-cca,0,0,0,0,0
gene-cdk18|cdk18,6,5,5,10,4
gene-LOC109628944|LOC109628944,32,42,70,65,48
gene-LOC109628888|LOC109628888,190,152,291,215,209
gene-LOC109628860|LOC109628860,197,68,72,56,144
gene-nucks1|nucks1,1016,718,564,274,723
gene-p3h1|p3h1,898,1049,504,510,671
gene-cunh1orf50|cunh1orf50,643,376,546,303,612
gene-LOC109628996|LOC109628996,64,72,113,73,63
gene-LOC109629329|LOC109629329,95,121,247,133,152
gene-LOC109628997|LOC109628997,0,0,4,0,19
gene-cfap57|cfap57,0,0,0,0,0
gene-efcc1|efcc1,0,0,2,5,0
gene-kiaa1257|kiaa1257,0,0,0,0,0
gene-acad9|acad9,572,476,1415,829,812
gene-LOC109629381|LOC109629381,215,232,171,230,150
gene-hdac11|hdac11,367,437,392,260,241
gene-LOC109629374|LOC109629374,0,0,0,0,0
gene-LOC109628999|LOC109628999,25,36,22,33,29
gene-ptpdc1|ptpdc1,68,57,88,12,81
gene-phf2|phf2,370,289,118,137,355
gene-fam120a|fam120a,408,473,798,423,560
gene-cass4|cass4,28,24,15,8,15
gene-cstf1|cstf1,90,71,90,60,167
gene-LOC109629001|LOC109629001,10,21,38,11,31
gene-LOC109629015|LOC109629015,0,0,0,3,5
gene-pdrg1|pdrg1,87,98,139,46,84
gene-LOC109629011|LOC109629011,10,14,14,18,12
gene-LOC109629008|LOC109629008,61691,53018,41759,39463,43690
gene-LOC109629013|LOC109629013,13,23,33,28,42
gene-klf15|klf15,549,1219,980,4403,298
gene-LOC109629007|LOC109629007,214,270,287,169,267
gene-LOC109629014|LOC109629014,0,0,0,0,0
gene-mtmr14|mtmr14,2168,2039,1534,986,1733
gene-setd5|setd5,1153,790,1192,844,1077
gene-LOC109629016|LOC109629016,930,790,860,599,890
gene-LOC109629005|LOC109629005,510,556,1199,463,1065
gene-LOC109629017|LOC109629017,239,178,239,128,185
gene-LOC109628863|LOC109628863,5,8,0,5,10
gene-LOC109629263|LOC109629263,265,259,359,271,316
gene-LOC109629515|LOC109629515,130,129,135,399,123
gene-ift74|ift74,198,200,110,110,143
gene-LOC109629516|LOC109629516,778,856,944,633,656
gene-LOC109629517|LOC109629517,55,40,52,56,21
gene-aoc1|aoc1,15848,18998,16759,17416,18018
gene-LOC109629734|LOC109629734,944,1248,1430,741,1264
gene-LOC109629472|LOC109629472,147,139,146,138,90
gene-kif5b|kif5b,5,13,14,33,0
gene-arhgap12|arhgap12,531,469,564,282,456
gene-zeb1|zeb1,266,201,437,186,294
gene-znf438|znf438,262,213,159,117,200
gene-svil|svil,348,351,277,78,251
gene-trnaa-ugc-4|trnaa-ugc,0,1,0,1,0
gene-map3k8|map3k8,120,320,616,582,236
gene-mtpap|mtpap,170,140,194,131,154
gene-kiaa1462|kiaa1462,773,674,873,463,811
gene-bambi|bambi,69,128,223,198,180
gene-wac|wac,906,663,706,421,804
gene-mpp7|mpp7,167,100,118,105,105
gene-armc4|armc4,39,0,5,11,0
gene-LOC109629722|LOC109629722,453,436,856,436,550
gene-itgb1|itgb1,617,867,929,449,1028
gene-nrp1|nrp1,760,964,921,867,830
gene-trnaw-cca-8|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-9|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-10|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-11|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-12|trnaw-cca,0,0,0,0,0
gene-trnaw-cca-13|trnaw-cca,0,0,0,0,0
gene-pard3|pard3,36,79,77,43,46
gene-cul2|cul2,336,314,455,156,458
gene-crem|crem,19,20,644,805,120
gene-trnag-ucc-6|trnag-ucc,0,0,0,0,0
gene-ccny|ccny,284,242,398,236,330
gene-LOC109629761|LOC109629761,100,168,639,186,240
gene-adarb2|adarb2,10,12,10,0,5
gene-LOC109629672|LOC109629672,637,583,760,240,769
gene-idi1|idi1,1156,747,1979,1106,928
gene-LOC109629671|LOC109629671,877,865,1408,584,792
gene-LOC109629705|LOC109629705,384,452,590,284,324
gene-LOC109629519|LOC109629519,124,83,116,65,74
gene-rmdn1|rmdn1,1226,905,1231,923,1054
gene-wwp1|wwp1,1516,1286,1116,481,1317
gene-snx16|snx16,389,344,381,115,331
gene-LOC109629782|LOC109629782,0,0,82,0,0
gene-LOC109629783|LOC109629783,0,0,0,0,0
gene-LOC109629784|LOC109629784,203,181,612,167,348
gene-pigm|pigm,38,92,149,73,94
gene-LOC109629620|LOC109629620,3,0,0,0,0
gene-LOC109629495|LOC109629495,0,0,9,0,7
gene-anks6|anks6,596,644,724,296,653
gene-rps20|rps20,23552,22947,26868,28399,22026
gene-LOC109629634|LOC109629634,28,19,89,47,24
gene-dph2|dph2,179,147,468,183,315
gene-ncf2|ncf2,25,52,167,74,163
gene-garem1|garem1,297,371,376,218,364
gene-prkdc|prkdc,194,264,305,196,225
gene-LOC109629817|LOC109629817,1115,1118,994,930,1299
gene-LOC109629826|LOC109629826,55,36,53,53,33
gene-LOC109629827|LOC109629827,2,0,0,0,0
gene-LOC109629802|LOC109629802,190,220,170,90,153
gene-rnpc3|rnpc3,70,40,58,19,54
gene-ntng1|ntng1,0,0,0,0,0
gene-prmt6|prmt6,74,157,378,205,209
gene-vav3|vav3,263,298,318,468,258
gene-LOC109629513|LOC109629513,246,141,107,83,71
gene-LOC109629836|LOC109629836,881,824,992,481,831
gene-LOC109629499|LOC109629499,108,129,298,62,210
gene-fbxo45|fbxo45,224,142,148,89,159
gene-fam168b|fam168b,236,198,241,565,202
gene-rbbp8|rbbp8,41,15,17,14,39
gene-tmem241|tmem241,125,139,153,96,105
gene-nsmaf|nsmaf,173,237,187,102,190
gene-LOC109629525|LOC109629525,10,17,11,15,16
gene-LOC109629526|LOC109629526,21,20,8,3,0
gene-LOC109629527|LOC109629527,129,76,155,44,91
gene-LOC109629640|LOC109629640,11,0,0,3,0
gene-pomp|pomp,872,745,1337,660,991
gene-LOC109629476|LOC109629476,370,340,315,175,618
gene-LOC109629901|LOC109629901,724,440,256,252,574
gene-slc22a17|slc22a17,30,37,91,90,51
gene-LOC109629487|LOC109629487,5,0,6,0,8
gene-ngdn|ngdn,423,313,361,142,563
gene-pabpn1|pabpn1,407,307,441,162,430
gene-thtpa|thtpa,82,55,122,91,67
gene-dcaf11|dcaf11,1341,1153,1345,792,1078
gene-psme1|psme1,1527,1276,1634,919,1376
gene-ppp1r17|ppp1r17,0,13,0,0,5
gene-pck2|pck2,14358,15838,18624,12708,11343
gene-fen1|fen1,58,40,94,30,73
gene-tm9sf1|tm9sf1,608,650,1236,751,940
gene-ipo4|ipo4,949,761,1080,740,956
gene-rec8|rec8,0,0,0,0,0
gene-pdcd6|pdcd6,572,486,1114,1022,528
gene-bmp6|bmp6,179,266,282,280,208
gene-txndc5|txndc5,1398,1304,2584,1259,2792
gene-bloc1s5|bloc1s5,132,147,358,131,221
gene-eef1e1|eef1e1,600,561,898,533,670
gene-LOC109629447|LOC109629447,0,0,0,0,0
gene-slc35b3|slc35b3,242,184,531,154,482
gene-LOC109629613|LOC109629613,253,152,225,136,185
gene-mak|mak,0,10,10,0,5
gene-LOC109629639|LOC109629639,10,0,144,5,30
gene-LOC109629651|LOC109629651,702,350,220,215,691
gene-LOC109629654|LOC109629654,3,0,0,0,2
gene-LOC109629652|LOC109629652,0,0,0,0,0
gene-LOC109629653|LOC109629653,751,740,612,387,759
gene-zc2hc1a|zc2hc1a,40,49,87,35,79
gene-LOC109629870|LOC109629870,0,0,22,5,0
gene-dap|dap,23428,19888,18582,17593,26235
gene-ankrd33b|ankrd33b,5,0,5,10,12
gene-LOC109629533|LOC109629533,0,0,0,0,0
gene-nup58|nup58,355,278,392,230,379
gene-mtmr6|mtmr6,317,238,548,215,442
gene-zfhx4|zfhx4,993,1159,935,1186,978
gene-pex2|pex2,40,37,101,62,55
gene-LOC109629462|LOC109629462,8,21,14,5,3
gene-trnal-uag-2|trnal-uag,0,0,0,0,0
gene-LOC109629860|LOC109629860,0,0,0,0,0
gene-LOC109629858|LOC109629858,96,58,34,31,66
gene-gpr141|gpr141,25,17,9,10,20
gene-pign|pign,215,135,140,65,136
gene-kiaa1468|kiaa1468,234,248,414,213,297
gene-tnfrsf11a|tnfrsf11a,5,0,14,0,7
gene-sec61g|sec61g,12599,9588,13350,13521,14408
gene-tpk1|tpk1,136,138,213,85,234
gene-LOC109629895|LOC109629895,41,0,0,0,0
gene-LOC109629896|LOC109629896,8,0,0,0,0
gene-bmi1|bmi1,371,216,260,136,328
gene-commd3|commd3,2117,1610,1241,1471,1671
gene-cntnap2|cntnap2,58,82,62,121,69
gene-pip4k2a|pip4k2a,130,74,122,61,201
gene-LOC109629665|LOC109629665,301249,275346,223600,231071,217635
gene-LOC109629662|LOC109629662,1808,1443,1607,1403,1403
gene-c8g|c8g,28065,26706,31166,25052,28550
gene-msrb2|msrb2,684,487,410,355,388
gene-armc3|armc3,86,57,48,52,48
gene-LOC109629726|LOC109629726,258,259,311,191,246
gene-mllt10|mllt10,262,233,276,200,216
gene-skida1|skida1,29,20,15,12,31
gene-LOC109629650|LOC109629650,0,0,0,0,0
gene-pkd1l1|pkd1l1,15,11,24,5,9
gene-pdia4|pdia4,1204,1240,18695,7882,6191
gene-LOC109629698|LOC109629698,6506,6086,5834,6353,6675
gene-ppp1r16a|ppp1r16a,51,55,65,55,89
gene-oplah|oplah,146,166,166,146,121
gene-prlh|prlh,0,0,0,0,0
gene-LOC109629840|LOC109629840,472,258,653,223,399
gene-LOC109629450|LOC109629450,7,0,13,3,3
gene-ndufb4|ndufb4,893,736,795,831,804
gene-hgd|hgd,27837,25168,20729,21632,17218
gene-pola1|pola1,42,36,47,21,38
gene-pcyt1b|pcyt1b,0,0,0,0,0
gene-pdk3|pdk3,1135,965,1573,872,1051
gene-LOC109629577|LOC109629577,3880,3405,3432,2920,3572
gene-LOC109629796|LOC109629796,291,307,430,190,370
gene-LOC109629816|LOC109629816,212,160,122,106,121
gene-march6|march6,1119,1039,1136,941,1143
gene-cmbl|cmbl,297,263,304,288,232
gene-cct5|cct5,7674,5711,6932,8934,8879
gene-mtrr|mtrr,219,163,469,477,302
gene-sema5a|sema5a,8,58,41,136,12
gene-timm21|timm21,155,127,125,45,110
gene-fbxo15|fbxo15,0,0,0,0,0
gene-socs6|socs6,355,288,309,96,330
gene-rttn|rttn,109,78,77,86,59
gene-cd226|cd226,15,0,6,9,0
gene-dok6|dok6,0,0,5,0,0
gene-crispld1|crispld1,0,0,0,0,0
gene-jph1|jph1,0,12,0,0,0
gene-eloc|eloc,290,222,546,193,334
gene-ube2w|ube2w,116,68,180,137,95
gene-stau2|stau2,1870,1224,1903,955,1466
gene-rdh10|rdh10,106,82,70,133,98
gene-sbspon|sbspon,58,78,63,74,68
gene-terf1|terf1,73,86,43,15,127
gene-rpl7|rpl7,86593,67562,74696,85874,75244
gene-LOC109629837|LOC109629837,6,0,11,10,0
gene-kcnb2|kcnb2,0,11,5,8,7
gene-xkr9|xkr9,148,128,526,239,139
gene-tram1|tram1,3438,3240,7039,4057,5800
gene-ncoa2|ncoa2,833,872,694,389,665
gene-slco5a1|slco5a1,677,796,549,224,647
gene-LOC109629700|LOC109629700,7,10,8,10,9
gene-LOC109629786|LOC109629786,40,62,45,18,45
gene-LOC109629785|LOC109629785,29,26,29,24,24
gene-cunh8orf34|cunh8orf34,0,0,0,0,0
gene-prex2|prex2,243,218,276,80,199
gene-cpa6|cpa6,0,2,0,5,8
gene-arfgef1|arfgef1,581,602,1104,748,689
gene-LOC109629541|LOC109629541,19,0,0,0,0
gene-cops5|cops5,460,349,472,301,494
gene-tcf24|tcf24,0,0,0,0,0
gene-mcmdc2|mcmdc2,0,0,0,0,0
gene-LOC109629892|LOC109629892,87,118,749,233,209
gene-LOC109629484|LOC109629484,1042,548,604,911,1086
gene-rrs1|rrs1,785,645,794,615,845
gene-crh|crh,0,0,0,0,0
gene-trim55|trim55,20,15,6,0,12
gene-LOC109629748|LOC109629748,0,0,0,0,0
gene-pde7a|pde7a,310,277,283,72,192
gene-mtfr1|mtfr1,525,420,479,390,447
gene-armc1|armc1,462,485,693,320,612
gene-ythdf3|ythdf3,427,429,940,248,622
gene-abhd10|abhd10,326,282,523,264,375
gene-tagln3|tagln3,5,10,21,30,10
gene-spata13|spata13,1143,1248,1949,798,1232
gene-tmprss7|tmprss7,18,26,152,135,17
gene-LOC109629505|LOC109629505,14,7,11,7,2
gene-wasf3|wasf3,127,72,141,45,190
gene-cdk8|cdk8,118,121,161,68,121
gene-rnf6|rnf6,325,291,312,214,329
gene-LOC109629544|LOC109629544,437,385,370,124,266
gene-boc|boc,104,101,89,61,143
gene-usf3|usf3,324,307,304,167,279
gene-naa50|naa50,1205,800,1412,802,1337
gene-atp6v1a|atp6v1a,94,104,1052,109,390
gene-gramd1c|gramd1c,986,1044,1340,955,933
gene-ccdc191|ccdc191,0,0,0,0,10
gene-qtrt2|qtrt2,694,453,457,273,319
gene-LOC109629490|LOC109629490,2051,1146,2277,946,1817
gene-ccdc58|ccdc58,127,127,186,88,158
gene-fam162a|fam162a,337,299,625,260,428
gene-kpna1|kpna1,398,483,848,450,427
gene-LOC109629890|LOC109629890,166,96,61,44,181
gene-zbtb47|zbtb47,985,755,440,158,492
gene-klhl40|klhl40,0,0,0,0,0
gene-LOC109629809|LOC109629809,0,0,5,0,0
gene-LOC109629808|LOC109629808,121,102,981,79,264
gene-LOC109629795|LOC109629795,1764,1397,3215,1445,2413
gene-LOC109629550|LOC109629550,490,444,269,293,274
gene-LOC109629818|LOC109629818,12,19,6,17,27
gene-LOC109629819|LOC109629819,61,98,83,33,121
gene-LOC109629552|LOC109629552,75,50,70,16,55
gene-LOC109629839|LOC109629839,250,168,221,89,240
gene-LOC109629572|LOC109629572,108,75,107,28,138
gene-myd88|myd88,306,309,658,344,389
gene-LOC109629693|LOC109629693,156,106,239,198,146
gene-LOC109629553|LOC109629553,0,11,26,0,5
gene-LOC109629853|LOC109629853,2373,1775,2033,2232,2250
gene-LOC109629752|LOC109629752,1635,1383,1011,4795,1362
gene-LOC109629854|LOC109629854,668755,567908,439161,684227,585839
gene-nck1|nck1,628,655,931,722,912
gene-LOC109629667|LOC109629667,627,437,459,513,432
gene-LOC109629669|LOC109629669,690,547,718,572,679
gene-cpb1|cpb1,785047,848126,552508,941406,663230
gene-agtr1|agtr1,36,42,49,20,15
gene-LOC109629737|LOC109629737,0,0,3,0,0
gene-LOC109629735|LOC109629735,0,0,0,5,0
gene-cunh3orf58|cunh3orf58,150,153,173,136,115
gene-LOC109629772|LOC109629772,586,365,383,419,311
gene-LOC109629773|LOC109629773,0,0,0,0,0
gene-plod2|plod2,101,122,111,108,147
gene-chst2|chst2,12,12,14,5,34
gene-trpc1|trpc1,0,0,2,0,0
gene-LOC109629855|LOC109629855,178,122,514,176,245
gene-pcolce2|pcolce2,15,0,38,23,7
gene-nphp3|nphp3,83,58,66,23,32
gene-u2surp|u2surp,1147,944,1132,664,940
gene-acad11|acad11,317,346,526,188,422
gene-ackr4|ackr4,12,15,12,17,5
gene-uba5|uba5,699,551,1443,748,1267
gene-plxdc2|plxdc2,0,21,8,5,100
gene-malrd1|malrd1,38,21,44,13,27
gene-LOC109629760|LOC109629760,154,166,237,144,185
gene-LOC109629554|LOC109629554,0,0,0,0,0
gene-wdr60|wdr60,48,43,42,20,18
gene-LOC109629555|LOC109629555,19,9,22,11,20
gene-esyt2|esyt2,24,22,25,33,30
gene-ncapg2|ncapg2,0,9,21,0,18
