gene_id,SRR13308380,SRR13308381,SRR13308382,SRR13308383,SRR13308392
gene-LOC109629517,32,21,30,23,10
gene-LOC109629519,67,42,56,23,33
gene-LOC109629521,0,0,0,0,0
gene-LOC109629523,171,156,177,82,192
gene-LOC109629525,6,14,6,8,7
gene-LOC109629526,12,4,4,2,0
gene-LOC109629527,61,44,81,16,39
gene-LOC109629528,0,0,4,2,4
gene-LOC109629529,0,0,0,0,0
gene-LOC109629530,0,0,2,0,0
gene-LOC109629533,4,0,0,0,0
gene-LOC109629541,6,0,0,0,0
gene-LOC109629542,143,86,93,48,84
gene-LOC109629544,173,144,148,57,110
gene-LOC109629547,0,0,0,0,0
gene-LOC109629548,0,0,0,0,3
gene-LOC109629549,0,0,2,1,0
gene-LOC109629550,213,179,100,116,110
gene-LOC109629552,42,23,17,6,23
gene-LOC109629553,0,4,8,4,2
gene-LOC109629554,0,0,0,0,0
gene-LOC109629555,6,4,12,4,8
gene-LOC109629556,0,0,0,0,0
gene-LOC109629558,3,2,6,2,0
gene-LOC109629562,117,148,571,212,243
gene-LOC109629563,207,152,153,100,216
gene-LOC109629564,2,4,13,2,8
gene-LOC109629565,0,0,20,2,8
gene-LOC109629566,21,37,62,42,59
gene-LOC109629567,0,0,0,0,0
gene-LOC109629570,370,310,605,528,341
gene-LOC109629572,47,44,46,16,54
gene-LOC109629577,1434,1369,1350,1051,1451
gene-LOC109629579,0,4,4,5,2
gene-LOC109629582,6,16,13,4,24
gene-LOC109629587,0,0,0,0,0
gene-LOC109629590,1,0,0,0,0
gene-LOC109629592,0,0,0,0,0
gene-LOC109629593,0,0,0,0,0
gene-LOC109629594,8,6,32,24,56
gene-LOC109629599,0,0,0,0,0
gene-LOC109629612,0,0,0,0,0
gene-LOC109629613,109,74,88,73,88
gene-LOC109629620,0,0,0,2,0
gene-LOC109629621,2,2,20,0,0
gene-LOC109629622,0,0,0,0,0
gene-LOC109629624,0,0,2,0,0
gene-LOC109629627,0,0,2,0,0
gene-LOC109629630,0,0,0,0,0
gene-LOC109629631,0,0,0,0,0
gene-LOC109629632,0,0,0,0,0
gene-LOC109629634,20,8,43,33,12
gene-LOC109629635,0,0,0,0,0
gene-LOC109629636,0,0,0,0,0
gene-LOC109629637,0,0,0,2,0
gene-LOC109629639,6,3,70,2,9
gene-LOC109629640,6,0,2,2,0
gene-LOC109629641,0,0,0,0,0
gene-LOC109629644,0,0,0,0,0
gene-LOC109629646,19,17,39,9,19
gene-LOC109629648,189,173,317,64,199
gene-LOC109629649,0,0,0,0,0
gene-LOC109629650,2,0,1,0,0
gene-LOC109629651,277,138,107,103,300
gene-LOC109629652,0,0,0,0,0
gene-LOC109629653,343,328,257,161,349
gene-LOC109629654,16,18,6,20,11
gene-LOC109629662,725,612,664,553,602
gene-LOC109629665,128785,116962,97637,96757,90471
gene-LOC109629667,273,217,208,261,223
gene-LOC109629669,281,222,296,250,280
gene-LOC109629671,393,367,530,211,322
gene-LOC109629672,276,248,339,100,350
gene-LOC109629673,36,43,49,25,34
gene-LOC109629678,711,717,589,520,683
gene-LOC109629687,0,0,38,2,10
gene-LOC109629688,0,0,0,1,0
gene-LOC109629690,167,123,98,89,151
gene-LOC109629693,70,34,105,90,55
gene-LOC109629695,178,195,212,1308,106
gene-LOC109629698,2986,2890,2672,2927,3058
gene-LOC109629700,1,1,0,0,0
gene-LOC109629705,162,197,259,126,142
gene-LOC109629711,260,209,197,84,315
gene-LOC109629721,0,4,0,0,0
gene-LOC109629722,200,170,377,185,226
gene-LOC109629726,101,110,100,65,96
gene-LOC109629734,422,578,656,342,574
gene-LOC109629735,0,0,0,2,0
gene-LOC109629737,0,0,0,0,0
gene-LOC109629748,2,0,2,0,0
gene-LOC109629752,673,621,458,2081,629
gene-LOC109629757,2,0,0,0,0
gene-LOC109629760,66,74,109,66,80
gene-LOC109629761,38,79,316,86,106
gene-LOC109629772,260,147,172,180,139
gene-LOC109629773,18,12,9,18,5
gene-LOC109629774,351,265,239,246,364
gene-LOC109629781,113,145,521,110,395
gene-LOC109629782,8,5,18,10,18
gene-LOC109629783,2,2,0,0,2
gene-LOC109629784,101,69,263,83,157
gene-LOC109629785,15,9,6,4,8
gene-LOC109629786,1,0,0,0,0
gene-LOC109629787,0,0,0,2,0
gene-LOC109629788,25,30,28,18,18
gene-LOC109629789,0,0,2,8,1
gene-LOC109629795,804,592,1421,594,1097
gene-LOC109629796,126,112,189,71,138
gene-LOC109629799,0,0,0,0,0
gene-LOC109629802,89,100,81,39,79
gene-LOC109629806,1566,1388,2012,1374,1822
gene-LOC109629808,39,42,461,46,112
gene-LOC109629809,0,0,5,2,0
gene-LOC109629811,2,0,0,0,2
gene-LOC109629815,26,18,28,29,11
gene-LOC109629816,102,57,45,53,59
gene-LOC109629817,474,469,404,373,570
gene-LOC109629818,2,13,5,11,11
gene-LOC109629819,27,47,40,14,41
gene-LOC109629822,0,0,0,3,0
gene-LOC109629826,24,16,28,26,18
gene-LOC109629827,2,0,0,0,0
gene-LOC109629833,68,61,103,154,51
gene-LOC109629836,405,364,498,225,393
gene-LOC109629837,4,6,0,6,0
gene-LOC109629839,123,79,103,25,97
gene-LOC109629840,183,100,263,88,187
gene-LOC109629841,2,13,67,12,16
gene-LOC109629843,380,268,609,197,294
gene-LOC109629849,0,0,0,0,0
gene-LOC109629853,1028,812,869,966,961
gene-LOC109629854,274241,247900,177218,293474,241807
gene-LOC109629855,70,57,250,75,125
gene-LOC109629857,0,0,0,0,0
gene-LOC109629858,43,24,8,16,27
gene-LOC109629860,20,16,8,7,16
gene-LOC109629863,105,67,65,82,102
gene-LOC109629867,43,101,40,136,45
gene-LOC109629870,2,2,11,0,3
gene-LOC109629880,61,26,45,24,38
gene-LOC109629883,0,0,2,0,0
gene-LOC109629886,0,0,1,0,0
gene-LOC109629890,75,42,32,12,91
gene-LOC109629891,64,76,180,106,120
gene-LOC109629892,38,48,328,107,79
gene-LOC109629895,20,0,3,0,2
gene-LOC109629896,2,0,0,0,0
gene-LOC109629898,0,0,0,0,0
gene-LOC109629900,105,86,185,105,193
gene-LOC109629901,264,161,112,101,215
gene-LOC109629903,4,2,0,6,0
gene-LOC109629937,4,2,2,2,4
gene-LOC109629939,0,0,0,0,0
gene-LOC109629940,4,0,0,2,2
gene-LOC109629941,2,4,46,4,11
gene-LOC109629947,0,0,0,0,0
gene-LOC109629949,0,2,0,0,0
gene-LOC109629952,2,0,0,0,4
gene-LOC109629953,408,376,400,278,324
gene-LOC109629954,97,93,256,206,123
gene-LOC109629955,0,2,0,0,2
gene-LOC109629960,124,156,188,78,129
gene-LOC109629961,0,0,0,0,2
gene-LOC109629966,0,0,0,6,2
gene-LOC109629967,0,0,0,0,0
gene-LOC109629968,4,0,2,0,0
gene-LOC109629970,57,110,148,32,87
gene-LOC109629972,0,0,0,0,0
gene-LOC109629974,177,244,227,323,134
gene-LOC109629976,0,0,0,0,0
gene-LOC109629977,0,0,0,0,0
gene-LOC109629981,2,6,0,7,2
gene-LOC109629982,976,775,1371,620,1161
gene-LOC109629987,8,12,2,6,16
gene-LOC109629988,64,24,68,30,65
gene-LOC109629989,0,0,4,0,1
gene-LOC109629990,0,0,0,0,2
gene-LOC109629993,2,0,0,0,0
gene-LOC109629995,137,88,87,39,108
gene-LOC109629997,453,498,606,233,429
gene-LOC109629999,2,2,0,0,0
gene-LOC109630000,342,256,221,219,290
gene-LOC109630001,17,23,9,17,7
gene-LOC109630002,2,7,2,0,6
gene-LOC109630006,6213,5663,2760,2510,6908
gene-LOC109630011,70,40,35,45,27
gene-LOC109630013,0,0,0,0,0
gene-LOC109630020,10,8,2,8,8
gene-LOC109630021,0,2,0,0,0
gene-LOC109630022,2,6,1,1,3
gene-LOC109630025,431,715,787,215,539
gene-LOC109630026,0,0,0,0,0
gene-LOC109630027,251,331,391,257,332
gene-LOC109630028,51,40,44,3,38
gene-LOC109630029,6,7,4,2,18
gene-LOC109630030,0,2,0,0,0
gene-LOC109630031,0,0,0,0,0
gene-LOC109630034,10,19,14,17,16
gene-LOC109630035,16,15,11,7,17
gene-LOC109630037,2,7,18,3,7
gene-LOC109630038,1703,1625,1213,890,1236
gene-LOC109630039,0,0,0,0,0
gene-LOC109630041,0,0,0,0,0
gene-LOC109630042,0,0,0,0,0
gene-LOC109630043,0,0,0,0,0
gene-LOC109630044,0,0,0,0,0
gene-LOC109630045,0,0,0,0,0
gene-LOC109630046,0,0,4,0,2
gene-LOC109630047,4,0,0,0,0
gene-LOC109630048,0,3,2,2,2
gene-LOC109630049,0,2,2,2,4
gene-LOC109630051,0,0,0,0,0
gene-LOC109630052,0,0,0,0,0
gene-LOC109630053,1,0,4,0,0
gene-LOC109630054,2,0,0,0,0
gene-LOC109630055,6,2,2,2,2
gene-LOC109630056,0,0,0,0,0
gene-LOC109630057,0,0,2,0,2
gene-LOC109630058,0,0,0,0,0
gene-LOC109630059,232,176,195,101,215
gene-LOC109630060,0,0,0,0,0
gene-LOC109630061,0,0,0,0,0
gene-LOC109630062,0,0,0,0,0
gene-LOC109630063,0,0,0,0,0
gene-LOC109630064,0,0,2,4,0
gene-LOC109630065,0,0,0,0,0
gene-LOC109630066,0,0,0,0,0
gene-LOC109630069,0,0,0,0,0
gene-LOC109630070,0,0,0,0,0
gene-LOC109630072,2,0,0,2,0
gene-LOC109630073,0,0,0,2,0
gene-LOC109630076,0,0,0,0,1
gene-LOC109630077,2,2,6,13,4
gene-LOC109630079,102,55,132,44,98
gene-LOC109630080,413,363,552,266,372
gene-LOC109630083,12,9,24,4,10
gene-LOC109630085,0,0,0,2,0
gene-LOC109630086,26,14,7,7,20
gene-LOC109630087,670,525,1024,344,1165
gene-LOC109630089,0,0,0,0,0
gene-LOC109630090,12,20,43,37,24
gene-LOC109630091,8,2,22,0,9
gene-LOC109630093,53,49,188,91,70
gene-LOC109630096,2,2,6,0,4
gene-LOC109630099,2,0,0,0,0
gene-LOC109630100,163,200,150,225,160
gene-LOC109630101,0,0,0,0,0
gene-LOC109630102,0,0,0,0,0
gene-LOC109630105,0,0,0,0,0
gene-LOC109630106,0,0,0,0,0
gene-LOC109630107,0,0,0,0,0
gene-LOC109630108,0,0,0,0,0
gene-LOC109630109,0,0,0,0,0
gene-LOC109630110,0,0,0,0,0
gene-LOC109630111,0,0,0,0,0
gene-LOC109630115,17,12,4,4,2
gene-LOC109630117,39,46,92,43,79
gene-LOC109630119,0,0,0,0,0
gene-LOC109630120,0,2,26,4,4
gene-LOC109630123,22,34,34,47,34
gene-LOC109630127,156,91,176,83,151
gene-LOC109630128,0,0,0,0,0
gene-LOC109630129,23,18,48,25,31
gene-LOC109630130,0,0,0,0,0
gene-LOC109630131,0,0,0,0,0
gene-LOC109630132,0,0,0,4,0
gene-LOC109630133,531,448,1043,466,654
gene-LOC109630134,76,86,143,45,75
gene-LOC109630137,133,67,125,68,153
gene-LOC109630138,0,0,0,0,0
gene-LOC109630140,0,0,0,0,2
gene-LOC109630142,0,0,0,0,0
gene-LOC109630144,2,0,0,0,0
gene-LOC109630149,0,0,0,0,0
gene-LOC109630150,8,13,10,8,27
gene-LOC109630151,5,12,21,2,5
gene-LOC109630152,0,0,0,0,0
gene-LOC109630154,6,4,46,6,24
gene-LOC109630156,0,0,0,0,0
gene-LOC109630158,65,49,47,36,64
gene-LOC109630160,49,82,53,43,61
gene-LOC109630161,6,41,7,6,27
gene-LOC109630162,0,0,0,2,0
gene-LOC109630164,5,4,3,8,7
gene-LOC109630165,4,8,31,17,26
gene-LOC109630166,0,0,0,0,0
gene-LOC109630167,2,2,4,2,4
gene-LOC109630168,0,0,0,0,0
gene-LOC109630171,0,0,0,0,0
gene-LOC109630172,0,0,0,0,0
gene-LOC109630173,0,0,0,0,0
gene-LOC109630174,0,0,0,0,0
gene-LOC109630175,0,0,0,0,0
gene-LOC109630177,0,0,0,0,0
gene-LOC109630179,0,0,0,0,0
gene-LOC109630180,0,0,0,0,0
gene-LOC109630181,0,0,0,0,0
gene-LOC109630183,0,0,1,2,0
gene-LOC109630184,0,0,0,0,0
gene-LOC109630185,0,0,0,0,0
gene-LOC109630186,0,0,2,9,2
gene-LOC109630189,10,2,0,8,2
gene-LOC109630190,0,0,0,0,0
gene-LOC109630191,0,0,0,0,0
gene-LOC109630192,0,0,0,0,0
gene-LOC109630193,0,0,0,0,0
gene-LOC109630198,0,0,0,0,0
gene-LOC109630199,0,0,2,0,0
gene-LOC109630200,0,0,0,0,0
gene-LOC109630201,0,0,0,2,0
gene-LOC109630202,0,0,2,0,2
gene-LOC109630203,21,45,28,22,37
gene-LOC109630208,80,64,59,186,47
gene-LOC109630209,8,24,25,8,21
gene-LOC109630212,2,0,0,6,0
gene-LOC109630219,115,96,143,67,135
gene-LOC109630222,0,0,0,0,0
gene-LOC109630223,1853,1318,1349,743,1466
gene-LOC109630224,22,28,8,15,14
gene-LOC109630226,964,1045,980,389,871
gene-LOC109630229,37,36,43,14,35
gene-LOC109630232,1208,646,703,320,1231
gene-LOC109630234,109,98,101,59,114
gene-LOC109630240,45,59,29,11,43
gene-LOC109630242,0,0,0,0,0
gene-LOC109630244,124,86,156,42,116
gene-LOC109630246,480,371,327,225,348
gene-LOC109630247,89,73,931,83,1025
gene-LOC109630248,161,164,133,94,130
gene-LOC109630250,63,76,78,47,67
gene-LOC109630251,132,145,163,115,117
gene-LOC109630258,61,42,53,20,54
gene-LOC109630259,0,0,0,0,0
gene-LOC109630260,5,3,6,2,2
gene-LOC109630263,112,85,68,48,96
gene-LOC109630264,36,26,24,36,4
gene-LOC109630268,32,9,29,11,11
gene-LOC109630277,280,253,303,161,249
gene-LOC109630278,118,92,213,149,165
gene-LOC109630279,223,162,308,238,231
gene-LOC109630281,0,0,0,0,0
gene-LOC109630282,97,63,141,95,152
gene-LOC109630286,604,538,892,873,731
gene-LOC109630287,4,8,2,0,6
gene-LOC109630289,0,2,0,2,2
gene-LOC109630292,4,5,3,0,8
gene-LOC109630294,344,361,293,211,316
gene-LOC109630295,24,14,13,11,12
gene-LOC109630296,0,0,4,2,2
gene-LOC109630297,0,8,1,0,2
gene-LOC109630298,1,2,2,2,0
gene-LOC109630299,0,0,0,0,0
gene-LOC109630303,172,137,126,111,149
gene-LOC109630308,2,19,34,30,8
gene-LOC109630309,0,1,0,3,0
gene-LOC109630314,4,4,12,2,10
gene-LOC109630315,9,2,8,8,2
gene-LOC109630316,2213,2936,4038,2399,1932
gene-LOC109630321,0,0,0,0,0
gene-LOC109630323,1414,1444,917,733,962
gene-LOC109630325,249,340,461,294,307
gene-LOC109630328,101,68,67,37,85
gene-LOC109630330,21999,35229,19390,17537,18298
gene-LOC109630331,1324,1065,1037,895,957
gene-LOC109630334,158,165,216,1147,112
gene-LOC109630335,921,1108,3032,1398,566
gene-LOC109630337,0,2,0,0,2
gene-LOC109630338,2,0,2,0,0
gene-LOC109630339,8,2,36,6,31
gene-LOC109630340,60,49,111,168,70
gene-LOC109630341,164,198,103,105,101
gene-LOC109630344,863,565,531,250,793
gene-LOC109630345,562,717,626,634,575
gene-LOC109630347,58,40,68,34,63
gene-LOC109630348,89,61,71,113,85
gene-LOC109630355,90,76,105,90,162
gene-LOC109630357,0,0,0,0,0
gene-LOC109630358,109,113,178,79,195
gene-LOC109630359,8,18,28,44,18
gene-LOC109630360,12,4,4,6,6
gene-LOC109630361,0,0,0,0,0
gene-LOC109630362,13,18,6,14,22
gene-LOC109630363,213,201,194,109,193
gene-LOC109630364,195,533,817,3030,174
gene-LOC109630365,83,106,122,43,121
gene-LOC109630374,275,237,394,227,268
gene-LOC109630376,1579,2032,2288,9970,1858
gene-LOC109630377,1423,2133,1474,1881,905
gene-LOC109630378,40,26,22,22,30
gene-LOC109630379,0,0,0,0,0
gene-LOC109630380,0,0,0,0,0
gene-LOC109630381,24,30,52,28,26
gene-LOC109630382,989,774,1323,885,1312
gene-LOC109630384,75,49,183,71,113
gene-LOC109630386,16,19,46,10,28
gene-LOC109630387,1,6,6,2,7
gene-LOC109630388,20,20,28,22,15
gene-LOC109630389,0,0,0,0,0
gene-LOC109630392,210,440,191,1152,231
gene-LOC109630394,0,1,2,0,0
gene-LOC109630396,2,2,0,0,6
gene-LOC109630401,0,0,0,0,0
gene-LOC109630403,0,0,2,0,0
gene-LOC109630406,0,0,0,0,0
gene-LOC109630407,0,0,3,0,0
gene-LOC109630412,6,8,10,2,8
gene-LOC109630413,74,93,209,114,77
gene-LOC109630414,227,334,230,227,216
gene-LOC109630415,81,78,180,176,156
gene-LOC109630426,0,0,0,4,0
gene-LOC109630427,434,383,190,76,368
gene-LOC109630429,75,137,107,98,123
gene-LOC109630433,7,5,21,2,17
gene-LOC109630435,9,6,4,6,0
gene-LOC109630436,185,337,181,194,170
gene-LOC109630439,385,420,578,444,395
gene-LOC109630440,49,82,42,36,81
gene-LOC109630444,0,0,0,0,0
gene-LOC109630460,2,0,0,2,0
gene-LOC109630466,0,0,0,0,0
gene-LOC109630469,0,0,0,0,0
gene-LOC109630470,939,818,565,394,409
gene-LOC109630473,0,2,0,0,0
gene-LOC109630474,129,92,66,54,72
gene-LOC109630475,7287,5488,5499,4160,6025
gene-LOC109630476,0,0,0,0,0
gene-LOC109630477,0,0,0,0,2
gene-LOC109630478,8,28,20,16,8
gene-LOC109630480,16,14,36,58,28
gene-LOC109630482,42,20,22,16,10
gene-LOC109630483,274,222,161,84,210
gene-LOC109630485,0,0,0,0,0
gene-LOC109630486,8,9,8,4,10
gene-LOC109630487,22,36,27,22,56
gene-LOC109630493,0,0,0,0,0
gene-LOC109630495,2789,2273,2605,2716,2442
gene-LOC109630498,82,53,60,48,54
gene-LOC109630499,8,4,10,8,6
gene-LOC109630504,164,163,328,233,209
gene-LOC109630505,8,8,11,9,8
gene-LOC109630506,692,351,376,262,550
gene-LOC109630507,4,0,0,0,4
gene-LOC109630514,19,17,7,10,15
gene-LOC109630515,0,0,0,0,0
gene-LOC109630516,0,0,0,0,0
gene-LOC109630518,0,0,0,0,0
gene-LOC109630519,0,0,0,0,0
gene-LOC109630521,2,2,2,0,0
gene-LOC109630523,2,0,2,0,2
gene-LOC109630525,44,69,97,86,26
gene-LOC109630526,274,157,197,98,107
gene-LOC109630527,21,22,19,0,16
gene-LOC109630528,12,8,18,2,14
gene-LOC109630529,0,0,0,0,0
gene-LOC109630530,25,16,10,17,16
gene-LOC109630532,0,0,0,0,0
gene-LOC109630533,2964,2770,2034,2826,1855
gene-LOC109630534,335,273,213,201,279
gene-LOC109630535,7,2,8,8,4
gene-LOC109630537,0,0,2,0,0
gene-LOC109630538,11,7,47,22,23
gene-LOC109630539,4,4,8,7,5
gene-LOC109630540,0,0,2,0,0
gene-LOC109630541,0,0,0,0,0
gene-LOC109630544,0,0,0,0,0
gene-LOC109630545,11,14,8,10,4
gene-LOC109630546,34,35,56,4,71
gene-LOC109630552,16,36,18,31,6
gene-LOC109630553,94,86,175,182,104
gene-LOC109630554,0,0,0,0,0
gene-LOC109630556,4,1,2,4,4
gene-LOC109630558,785,1038,619,505,844
gene-LOC109630561,77,45,58,48,48
gene-LOC109630563,5261,5156,3105,4557,5015
gene-LOC109630564,0,0,0,0,0
gene-LOC109630565,58,59,162,76,75
gene-LOC109630568,0,2,9,2,0
gene-LOC109630571,0,0,0,0,0
gene-LOC109630572,252,188,245,167,186
gene-LOC109630574,0,6,16,0,6
gene-LOC109630576,0,0,0,0,0
gene-LOC109630577,12,13,14,12,8
gene-LOC109630578,0,0,0,0,0
gene-LOC109630579,28,6,14,8,14
gene-LOC109630580,744,660,853,223,831
gene-LOC109630583,280,169,214,85,264
gene-LOC109630585,0,0,0,0,0
gene-LOC109630588,0,0,2,0,0
gene-LOC109630589,4,11,1,3,8
gene-LOC109630590,25,8,18,16,16
gene-LOC109630591,47,16,8,5,27
gene-LOC109630592,0,0,0,0,0
gene-LOC109630593,60,54,26,36,16
gene-LOC109630594,0,0,0,0,0
gene-LOC109630595,0,0,4,0,0
gene-LOC109630597,0,0,0,0,0
gene-LOC109630599,97,84,94,43,93
gene-LOC109630600,8,1,19,0,2
gene-LOC109630602,60,34,25,16,30
gene-LOC109630604,0,0,0,0,0
gene-LOC109630605,2,2,0,6,6
gene-LOC109630607,0,0,0,0,0
gene-LOC109630608,0,0,0,0,0
gene-LOC109630609,0,0,0,0,0
gene-LOC109630610,0,0,0,0,0
gene-LOC109630611,0,0,0,0,0
gene-LOC109630612,11,12,10,12,20
gene-LOC109630613,0,1,0,0,0
gene-LOC109630614,145,172,366,177,176
gene-LOC109630618,0,0,0,2,0
gene-LOC109630620,17,9,4,4,8
gene-LOC109630623,52,32,18,8,36
gene-LOC109630624,9,14,33,8,13
gene-LOC109630626,2424,1999,1187,2018,2021
gene-LOC109630627,352815,321089,241203,388070,292341
gene-LOC109630628,407458,433218,283929,487308,295418
gene-LOC109630629,226,129,124,154,125
gene-LOC109630630,0,0,0,0,2
gene-LOC109630637,0,0,0,0,0
gene-LOC109630638,3,0,2,2,0
gene-LOC109630641,0,0,0,0,4
gene-LOC109630643,0,0,0,0,0
gene-LOC109630645,207,157,227,116,247
gene-LOC109630647,76,54,99,52,83
gene-LOC109630648,125,163,276,99,196
gene-LOC109630649,77,83,87,55,69
gene-LOC109630650,2,0,0,0,0
gene-LOC109630651,0,0,0,0,0
gene-LOC109630653,4,4,5,2,4
gene-LOC109630655,3712,3580,2847,2555,1828
gene-LOC109630657,0,0,0,0,0
gene-LOC109630658,0,2,2,2,0
gene-LOC109630661,0,0,0,0,2
gene-LOC109630662,115,71,168,67,137
gene-LOC109630663,50,14,9,8,22
gene-LOC109630665,6,12,12,16,42
gene-LOC109630667,0,0,0,0,0
gene-LOC109630668,8,3,6,8,5
gene-LOC109630670,0,0,0,0,0
gene-LOC109630672,270,264,165,128,167
gene-LOC109630673,0,0,2,0,0
gene-LOC109630674,2,0,2,0,0
gene-LOC109630677,0,0,0,0,2
gene-LOC109630679,0,0,2,2,8
gene-LOC109630680,0,0,0,0,0
gene-LOC109630681,0,0,0,8,0
gene-LOC109630683,2,0,2,0,2
gene-LOC109630684,0,0,0,0,0
gene-LOC109630685,65,24,32,12,36
gene-LOC109630686,5,0,0,0,0
gene-LOC109630687,0,4,13,4,8
gene-LOC109630688,11,4,16,3,6
gene-LOC109630690,0,2,2,0,0
gene-LOC109630693,0,0,1,2,2
gene-LOC109630694,2,2,0,0,2
gene-LOC109630695,0,0,0,0,0
gene-LOC109630696,2,0,0,8,2
gene-LOC109630697,0,4,0,0,0
gene-LOC109630698,0,0,0,0,0
gene-LOC109630699,0,0,0,0,0
gene-LOC109630701,9,9,12,2,9
gene-LOC109630703,0,0,0,0,0
gene-LOC109630704,0,0,0,0,0
gene-LOC109630706,0,0,0,0,0
gene-LOC109630708,0,0,0,0,0
gene-LOC109630709,0,0,0,0,0
gene-LOC109630710,0,0,0,0,0
gene-LOC109630711,0,0,0,0,0
gene-LOC109630713,0,0,0,0,2
gene-LOC109630715,0,0,0,2,2
gene-LOC109630716,0,0,0,0,0
gene-LOC109630717,0,0,0,0,0
gene-LOC109630718,8,10,22,4,18
gene-LOC109630719,0,0,2,0,0
gene-LOC109630725,4,13,17,10,12
gene-LOC109630726,4,0,0,3,2
gene-LOC109630728,418,312,462,322,306
gene-LOC109630729,149,117,354,166,207
gene-LOC109630731,306,352,871,545,1046
gene-LOC109630732,2,2,1,0,2
gene-LOC109630735,0,0,0,0,2
gene-LOC109630737,12,26,8,47,19
gene-LOC109630739,0,0,0,0,0
gene-LOC109630740,561,547,652,419,476
gene-LOC109630743,0,0,0,0,0
gene-LOC109630745,14,4,10,10,4
gene-LOC109630746,0,0,0,0,0
gene-LOC109630750,268,287,352,162,296
gene-LOC109630754,173,146,165,102,139
gene-LOC109630758,0,0,0,0,0
gene-LOC109630759,423,426,397,297,383
gene-LOC109630760,1225,1021,994,919,851
gene-LOC109630766,0,0,0,0,0
gene-LOC109630768,0,0,0,0,0
gene-LOC109630770,333,335,304,272,291
gene-LOC109630771,141,113,98,87,107
gene-LOC109630772,558,359,1098,587,685
gene-LOC109630773,841,618,772,357,716
gene-LOC109630774,19,16,15,50,18
gene-LOC109630775,3,4,4,18,3
gene-LOC109630778,1125,840,1319,728,1042
gene-LOC109630779,442,279,563,302,485
gene-LOC109630781,15,20,5,6,12
gene-LOC109630783,305,348,711,302,552
gene-LOC109630784,635,492,395,243,406
gene-LOC109630786,91,85,89,83,71
gene-LOC109630788,0,1,1,0,1
gene-LOC109630790,235,47,3046,112112,135
gene-LOC109630793,2141,2661,2152,5074,1041
gene-LOC109630794,0,0,0,0,0
gene-LOC109630795,200,149,249,146,189
gene-LOC109630797,49,51,14,29,21
gene-LOC109630800,28,49,80,60,41
gene-LOC109630806,8,4,4,5,2
gene-LOC109630808,940,704,595,569,1056
gene-LOC109630812,0,0,0,0,0
gene-LOC109630813,132,132,211,131,155
gene-LOC109630814,34237,32456,34460,22978,32653
gene-LOC109630815,0,2,4,0,0
gene-LOC109630816,335,305,638,303,450
gene-LOC109630817,0,0,2,0,2
gene-LOC109630820,5,4,0,6,6
gene-LOC109630822,425,382,530,304,428
gene-LOC109630827,155,104,140,50,113
gene-LOC109630828,0,2,12,2,8
gene-LOC109630830,0,0,0,0,0
gene-LOC109630831,246,187,253,653,230
gene-LOC109630832,53,30,61,31,35
gene-LOC109630833,111,86,138,77,109
gene-LOC109630837,0,0,0,0,0
gene-LOC109630838,1959,1641,1202,1234,550
gene-LOC109630841,127,64,128,50,89
gene-LOC109630842,73,77,154,56,117
gene-LOC109630843,64,69,29,46,41
gene-LOC109630845,229,261,307,195,296
gene-LOC109630846,112,134,111,102,111
gene-LOC109630847,1110,888,1019,620,823
gene-LOC109630848,0,0,0,0,0
gene-LOC109630849,2448,2187,2694,2350,2126
gene-LOC109630850,41,42,35,64,56
gene-LOC109630851,210,147,173,196,228
gene-LOC109630852,2,0,1,0,0
gene-LOC109630853,138,98,78,44,140
gene-LOC109630854,64,93,68,47,59
gene-LOC109630855,11469,12130,20499,10623,15282
gene-LOC109630856,0,0,4,2,2
gene-LOC109630857,10,4,4,0,2
gene-LOC109630859,159,122,408,128,147
gene-LOC109630860,16,33,52,35,17
gene-LOC109630861,60,32,36,28,54
gene-LOC109630862,0,0,0,1,0
gene-LOC109630865,260,258,368,244,433
gene-LOC109630868,10,18,8,6,6
gene-LOC109630869,9,9,21,14,11
gene-LOC109630870,8,3,4,2,4
gene-LOC109630871,344,340,444,301,346
gene-LOC109630872,427,372,457,300,463
gene-LOC109630881,0,2,4,0,0
gene-LOC109630882,115,114,165,113,81
gene-LOC109630884,306,319,573,494,382
gene-LOC109630885,80,64,107,75,64
gene-LOC109630887,32,12,21,12,7
gene-LOC109630888,556,447,748,570,530
gene-LOC109630897,2,4,2,2,6
gene-LOC109630900,426,518,1366,623,1023
gene-LOC109630902,2,2,2,4,4
gene-LOC109630903,30,31,25,41,32
gene-LOC109630904,83,56,68,48,96
gene-LOC109630907,13,23,26,24,20
gene-LOC109630911,243,282,298,186,206
gene-LOC109630912,5,0,0,0,0
gene-LOC109630913,20,22,4,25,0
gene-LOC109630915,26,30,43,14,42
gene-LOC109630920,150,97,116,46,147
gene-LOC109630922,180,156,242,168,171
gene-LOC109630923,10,28,27,72,22
gene-LOC109630924,169,197,151,83,274
gene-LOC109630929,191,98,250,132,207
gene-LOC109630931,0,2,0,0,0
gene-LOC109630935,0,0,0,0,0
gene-LOC109630937,594,452,1335,674,944
gene-LOC109630938,1,0,0,0,0
gene-LOC109630939,0,0,0,0,0
gene-LOC109630950,84,74,112,29,74
gene-LOC109630951,0,0,0,0,0
gene-LOC109630952,195,116,76,117,149
gene-LOC109630953,0,0,0,0,0
gene-LOC109630955,2928,2891,2450,2274,2166
